Row ID,Smoking,Employee,Gender,Design Matrix:,Smoking,Smoking,Smoking,Smoking,Employee,Employee,Employee,Employee,Employee,Gender,Gender
,,,,,Heavy,Light,Medium,None,Junior Employees,Junior Managers,Secretaries,Senior Employees,Senior Managers,Female,Male
2,None,Senior Managers,Female,,0,0,0,1,0,0,0,0,1,1,0
3,None,Senior Managers,Male,,0,0,0,1,0,0,0,0,1,0,1
4,None,Senior Managers,Female,,0,0,0,1,0,0,0,0,1,1,0
5,None,Senior Managers,Male,,0,0,0,1,0,0,0,0,1,0,1
6,None,Junior Managers,Female,,0,0,0,1,0,1,0,0,0,1,0
7,None,Junior Managers,Male,,0,0,0,1,0,1,0,0,0,0,1
8,None,Junior Managers,Female,,0,0,0,1,0,1,0,0,0,1,0
9,None,Junior Managers,Male,,0,0,0,1,0,1,0,0,0,0,1
10,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
11,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
12,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
13,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
14,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
15,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
16,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
17,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
18,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
19,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
20,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
21,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
22,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
23,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
24,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
25,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
26,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
27,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
28,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
29,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
30,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
31,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
32,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
33,None,Senior Employees,Male,,0,0,0,1,0,0,0,1,0,0,1
34,None,Senior Employees,Female,,0,0,0,1,0,0,0,1,0,1,0
35,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
36,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
37,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
38,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
39,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
40,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
41,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
42,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
43,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
44,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
45,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
46,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
47,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
48,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
49,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
50,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
51,None,Junior Employees,Male,,0,0,0,1,1,0,0,0,0,0,1
52,None,Junior Employees,Female,,0,0,0,1,1,0,0,0,0,1,0
53,None,Secretaries,Male,,0,0,0,1,0,0,1,0,0,0,1
54,None,Secretaries,Female,,0,0,0,1,0,0,1,0,0,1,0
55,None,Secretaries,Male,,0,0,0,1,0,0,1,0,0,0,1
56,None,Secretaries,Female,,0,0,0,1,0,0,1,0,0,1,0
57,None,Secretaries,Male,,0,0,0,1,0,0,1,0,0,0,1
58,None,Secretaries,Female,,0,0,0,1,0,0,1,0,0,1,0
59,None,Secretaries,Male,,0,0,0,1,0,0,1,0,0,0,1
60,None,Secretaries,Female,,0,0,0,1,0,0,1,0,0,1,0
61,None,Secretaries,Male,,0,0,0,1,0,0,1,0,0,0,1
62,None,Secretaries,Female,,0,0,0,1,0,0,1,0,0,1,0
63,Light,Senior Managers,Male,,0,1,0,0,0,0,0,0,1,0,1
64,Light,Senior Managers,Female,,0,1,0,0,0,0,0,0,1,1,0
65,Light,Junior Managers,Male,,0,1,0,0,0,1,0,0,0,0,1
