value,grp
22.03379725,0
1.164440871,0
3.539222487,0
11.26688064,0
9.795750227,0
24.80993888,0
25.79614946,0
17.34585228,0
25.55281415,0
47.75130608,0
4.375230017,0
-30.53945304,0
4.745144249,0
20.69238351,0
60.52061169,0
20.01187684,0
12.25304575,0
15.17729859,0
22.49359229,0
21.16666226,0
-27.37641237,0
16.48012701,0
1.426830093,0
19.64587343,0
9.503461368,0
18.2272436,0
-5.258456187,0
3.632627593,0
-0.593657862,0
8.705516191,0
15.65503342,0
16.25962002,0
-8.452146833,0
3.634264683,0
11.45857939,0
16.96581992,0
10.19354047,0
0.537617123,0
8.889438757,0
-30.5634637,0
-16.25811248,0
16.61893864,0
14.45434125,0
48.1778591,0
-8.803893909,0
6.295514393,0
20.10737378,0
12.37473614,0
24.39252628,0
46.28447303,0
6.447945705,0
7.146915121,0
-6.984222384,0
3.219216776,0
-23.93060979,0
4.136055648,0
20.94740583,0
25.58801159,0
-4.813963389,0
-1.006113709,0
22.97134986,0
-16.63218766,0
51.46513675,0
11.70414296,0
-12.78566171,0
2.586981534,0
32.60794645,0
10.41848125,0
17.09762844,0
47.27163858,0
26.0545369,0
-4.43615929,0
29.95881576,0
-18.0414497,0
12.24843006,0
-8.284208636,0
18.55136477,0
7.007716956,0
-8.842001737,0
39.43734216,0
24.55155143,0
6.64362349,0
-0.878147805,0
40.52919055,0
41.52281352,0
-26.56568879,0
37.33540896,0
3.41982857,0
10.91754373,0
18.28890734,0
1.75774974,0
-41.85429472,0
-0.690609997,0
13.23386757,0
5.88535502,0
15.91667231,0
-0.530357031,0
-18.9926902,0
20.157828,0
22.61469151,0
42.23667591,0
-0.048324839,0
54.18361641,0
-11.16034921,0
25.45158739,0
52.53306543,0
0.966671248,0
16.56241355,0
-26.54940883,0
8.526072886,0
-11.99262781,0
-15.34738996,0
0.859805621,0
10.94969437,0
17.89700607,0
19.88375177,0
7.509667082,0
2.855100572,0
-13.30871212,0
17.93174877,0
8.794419298,0
-5.558998712,0
-7.906359062,0
3.796609488,0
-15.9213266,0
11.19639481,0
24.5316335,0
19.5737505,0
-4.659417502,0
-10.18668965,0
7.159261511,0
-9.656499717,0
12.17301022,0
0.595733834,0
7.095892468,0
34.37027433,0
8.334237716,0
8.202156348,0
38.18524081,0
11.03700586,0
6.886981535,0
-5.509385776,0
9.439205567,0
8.452426553,0
33.79224497,0
36.05302143,0
-39.64167601,0
18.39904715,0
-21.1984877,0
21.42147994,0
0.527339833,0
-19.00587788,0
11.29907676,0
13.64534571,0
2.202128851,0
30.46876943,0
-39.15709724,0
10.60520051,0
-32.35862434,0
-3.05643309,0
18.78496849,0
21.03103386,0
20.45484623,0
54.46919775,0
-29.48698577,0
29.19306669,0
18.18731678,0
13.87581167,0
5.154257704,0
17.25426617,0
-4.124225345,0
-4.06933734,0
-11.92273314,0
7.660711415,0
-5.406249076,0
-13.47546797,0
26.74407031,0
17.5935759,0
30.25808499,0
8.119187694,0
33.68392416,0
26.60328053,1
21.29383236,1
14.99239832,1
14.61445779,1
6.732026375,1
13.91792128,1
-3.697490431,1
37.98433343,1
9.838587428,1
27.61814019,1
5.671032593,1
-2.994041754,1
18.7630724,1
16.6868779,1
-18.37650754,1
18.82710083,1
5.966595634,1
19.52745722,1
20.84092673,1
31.24888852,1
2.508264768,1
-2.865803001,1
-4.627403289,1
19.27630026,1
9.022725206,1
8.772955223,1
3.308279045,1
8.906287146,1
34.20074452,1
3.476330928,1
-16.45501809,1
16.03986337,1
-0.150870366,1
-10.15613063,1
18.13574843,1
41.40148692,1
29.89596967,1
20.89056241,1
-3.678140931,1
7.122176865,1
11.4509169,1
29.01680662,1
5.547227627,1
-13.3328592,1
32.13882908,1
7.562099452,1
5.247162587,1
9.356532498,1
-3.658836906,1
-26.80424925,1
0.91751306,1
-21.96491889,1
16.39793143,1
14.589333,1
-30.33863661,1
-5.285081645,1
10.01759872,1
-6.603280528,1
7.897793946,1
-8.300443116,1
39.99559001,1
15.32775175,1
34.242172,1
30.73402356,1
31.39204298,1
-0.2030981,1
0.973446984,1
16.72732767,1
60.63266144,1
7.108261596,1
-13.693201,1
19.42304723,1
-10.21724868,1
-16.72531991,1
-6.035573935,1
25.18897079,1
21.69087227,1
-12.50681064,1
-0.388248484,1
6.953556547,1
-19.68363333,1
-9.275694285,1
-20.06171028,1
28.14519237,1
16.19056664,1
1.250388121,1
7.917780092,1
