Row ID,count,child,camper,persons,nofish,livebait,xb,Fitted,Residual,Leverage,Std. Residual,Cook's D,Jackknife Residual
2,0,0,0,1,1,0,-0.896314561,-3.186178326,3.186178326,0.042250984,0.336524625,0.000713708,3.326736205
3,0,0,1,1,0,1,-0.55834496,0.567074828,-0.567074828,0.015929214,-0.059088073,8.07364E-06,-0.576254104
4,0,0,0,1,0,1,-0.401731014,-1.980701522,1.980701522,0.019777492,0.206789902,0.000123256,2.020665213
5,0,1,1,2,0,1,-0.956298113,-5.148090126,5.148090126,0.020689773,0.537723013,0.000872679,5.256853228
6,1,0,0,1,0,1,0.43689096,1.47227737,-0.47227737,0.021342584,-0.04934628,7.58625E-06,-0.482576806
7,0,2,1,4,0,1,1.394485474,1.350764237,-1.350764237,0.023386631,-0.141283306,6.82855E-05,-1.383110533
8,0,1,0,3,0,1,0.184716746,-2.746400863,2.746400863,0.019042842,0.286623327,0.000227828,2.799715402
9,0,3,0,4,0,1,2.329106569,-2.966476678,2.966476678,0.041878271,0.313258757,0.00061274,3.096137566
10,0,2,1,3,1,0,0.188386485,-3.680587576,3.680587576,0.045157092,0.389335333,0.001024103,3.854652471
11,1,0,1,1,0,1,0.287689924,4.050575961,-3.050575961,0.016663579,-0.317982638,0.000244779,-3.102270898
12,0,1,0,4,0,1,1.99095273,5.586924511,-5.586924511,0.019454947,-0.583192129,0.000964024,-5.697774413
13,0,2,1,3,0,1,1.317893147,0.139149505,-0.139149505,0.020116735,-0.01453005,6.19183E-07,-0.142006206
14,1,0,0,3,1,0,0.298041672,3.524016655,-2.524016655,0.040331001,-0.266320201,0.000425822,-2.630090853
15,2,0,0,3,0,1,1.290873408,6.781002402,-4.781002402,0.018513663,-0.498826433,0.000670516,-4.871185894
16,0,0,1,1,0,1,-0.06088984,2.615318354,-2.615318354,0.015676914,-0.272476061,0.00016892,-2.656971467
17,1,0,1,1,1,1,0.370049208,2.231841295,-1.231841295,0.035204226,-0.129631244,8.75953E-05,-1.276789688
18,0,1,0,4,0,1,1.979093432,5.538094518,-5.538094518,0.019496429,-0.578107229,0.000949346,-5.648214529
19,0,2,1,3,1,1,0.715337098,-4.499685588,4.499685588,0.037463641,0.474074094,0.001249647,4.67482142
20,1,1,1,2,0,1,1.516053081,5.031677099,-4.031677099,0.015626665,-0.420028199,0.000400097,-4.095678899
21,0,1,0,3,0,1,-0.034895968,-3.650643882,3.650643882,0.02150716,0.381472531,0.000456934,3.730884616
22,1,1,0,4,0,1,1.178230286,2.240585481,-1.240585481,0.024865476,-0.129857505,6.14283E-05,-1.272219832
23,5,0,1,4,0,1,1.642111778,12.31608227,-7.316082275,0.031915568,-0.768589751,0.00278215,-7.557277061
24,0,1,1,2,0,1,0.597727358,1.250522496,-1.250522496,0.011877204,-0.130034525,2.90351E-05,-1.265553736
25,3,0,1,2,0,1,1.139723063,8.455024697,-5.455024697,0.011453345,-0.567114514,0.000532327,-5.518226851
26,30,0,1,3,0,1,3.500297546,19.07080772,10.92919228,0.029008308,1.14644424,0.005609378,11.25570113
27,0,0,1,2,0,1,-0.789978385,0.509587333,-0.509587333,0.019234451,-0.053187386,7.92563E-06,-0.519581192
28,13,0,1,4,0,1,2.662356138,16.51688114,-3.516881143,0.028726175,-0.368858228,0.000574853,-3.620895625
29,0,1,0,2,0,1,1.606172442,2.210113028,-2.210113028,0.019345473,-0.230690172,0.000149977,-2.253712157
30,0,0,0,1,0,1,0.01855018,-0.250217303,0.250217303,0.019868214,0.026124484,1.97639E-06,0.255289449
31,0,3,0,4,0,1,3.034559011,-0.061815857,0.061815857,0.04492016,0.006538117,2.87216E-07,0.064723235
32,0,0,0,1,0,1,0.051000755,-0.116603883,0.116603883,0.019933178,0.012174687,4.30664E-07,0.118975441
33,0,1,1,3,0,1,0.745258808,2.754225084,-2.754225084,0.011661833,-0.286364562,0.00013823,-2.786723386
34,11,0,1,4,0,1,2.453136683,15.65543178,-4.655431784,0.0287108,-0.488268058,0.001006735,-4.79304391
35,5,1,1,4,0,1,2.352706671,10.26905153,-5.269051531,0.016596513,-0.549210967,0.000727219,-5.357975236
36,0,0,1,1,0,1,-1.108257532,-1.697159311,1.697159311,0.018480356,0.177070307,8.43344E-05,1.729113952
37,1,0,0,2,1,0,0.515419424,3.522807218,-2.522807218,0.038685175,-0.265964622,0.000406657,-2.624329879
38,1,1,1,2,1,1,1.982768536,4.795507387,-3.795507387,0.03568655,-0.399515244,0.00084383,-3.935968525
39,7,1,1,4,1,1,2.066855907,6.934232667,0.065767333,0.036509737,0.006925628,2.59646E-07,0.068259468
40,0,1,1,3,1,1,0.095011771,-2.080974975,2.080974975,0.036499254,0.219135862,0.000259873,2.159806292
41,14,1,1,4,0,1,5.352674007,22.6212486,-8.621248597,0.050936515,-0.914734718,0.006415437,-9.083953528
42,0,0,1,1,0,1,-0.711813927,-0.064825026,0.064825026,0.016401156,0.00675626,1.08735E-07,0.06590596
43,32,0,1,4,0,1,3.484046221,19.90014392,12.09985608,0.032128426,1.271288047,0.007664108,12.50150992
44,0,2,0,3,1,0,2.400906324,2.236713155,-2.236713155,0.05982631,-0.238439867,0.000516825,-2.379042487
45,1,0,1,4,1,0,0.376028478,7.933998555,-6.933998555,0.059773741,-0.739162942,0.004962041,-7.374819078
46,0,2,0,4,1,1,1.085056424,-5.273762375,5.273762375,0.048293637,0.558781086,0.002263457,5.541375554
47,0,0,1,1,0,1,-1.067198753,-1.528102093,1.528102093,0.018207452,0.159409842,6.73227E-05,1.556440917
48,0,1,1,2,0,1,0.322997063,0.119335932,-0.119335932,0.012048587,-0.012410122,2.68321E-07,-0.120791296
49,1,0,0,1,0,1,0.501066327,1.73651584,-0.73651584,0.021690922,-0.076969148,1.87645E-05,-0.752845759
50,5,1,1,2,0,1,2.011488438,7.071604364,-2.071604364,0.020412765,-0.216350491,0.00013934,-2.114772722
51,0,1,0,2,0,1,0.95714736,-0.462211306,0.462211306,0.015679651,0.048155396,5.27706E-06,0.469574063
52,1,1,1,2,0,1,1.114434004,3.378033099,-2.378033099,0.013168193,-0.247439456,0.000116714,-2.409765354
53,0,1,1,2,0,1,-0.673830032,-3.985043663,3.985043663,0.017670966,0.415601609,0.000443874,4.056729999
54,22,0,1,4,0,1,3.196705818,18.71703595,3.282964052,0.030332943,0.344609649,0.0005307,3.385661118
55,0,0,0,2,1,0,-0.3863208,-0.190057524,0.190057524,0.036256414,0.020011376,2.15218E-06,0.197207563
56,15,0,1,3,0,1,2.718511581,15.8518479,-0.851847901,0.019803519,-0.088936107,2.2829E-05,-0.869058313
57,0,0,1,1,1,0,-1.269290566,-1.529260606,1.529260606,0.041744809,0.161478065,0.000162275,1.595880325
58,0,0,1,1,0,1,-1.087805986,-1.612951218,1.612951218,0.018342759,0.1682728,7.55848E-05,1.643090022
59,0,0,1,1,0,1,-0.984578311,-1.187917062,1.187917062,0.017698614,0.123890033,3.95066E-05,1.209320357
60,5,1,1,4,1,1,1.872467756,6.13385037,-1.13385037,0.037364691,-0.119453115,7.91219E-05,-1.177860774
61,4,0,1,1,1,1,1.547955513,7.081804369,-3.081804369,0.045234251,-0.326008766,0.000719335,-3.227812029
62,2,0,0,2,0,1,1.004094243,4.703955166,-2.703955166,0.014530574,-0.281546761,0.000166972,-2.743824511
63,0,1,1,2,0,1,-0.165202618,-1.890798844,1.890798844,0.013822547,0.196806945,7.75561E-05,1.917300824
64,2,1,0,2,0,1,1.471645236,1.656204811,0.343795189,0.018312579,0.035866237,3.42807E-06,0.350208408
65,32,0,1,4,0,1,3.489336014,19.92192435,12.07807565,0.032167587,1.26902533,0.007646468,12.47951142
66,0,3,0,4,0,1,1.885775805,-4.791866206,4.791866206,0.041975859,0.506044937,0.001602888,5.001821978
67,0,0,1,1,0,1,-2.272530079,-6.490986152,6.490986152,0.031755217,0.681852954,0.002178278,6.703868966
68,1,0,0,1,0,1,0.613840997,2.200859212,-1.200859212,0.02238178,-0.125539408,5.15451E-05,-1.228351915
69,0,2,0,3,1,1,2.878997564,1.216439418,-1.216439418,0.048311949,-0.128888985,0.000120474,-1.278191333
70,0,0,1,1,1,1,-0.944848835,-3.182177569,3.182177569,0.036938961,0.335173851,0.000615564,3.304232484
71,0,1,1,2,0,1,0.820035219,2.165862632,-2.165862632,0.012174442,-0.225249277,8.93301E-05,-2.192555775
72,7,0,1,3,0,1,2.088183641,13.256508,-6.256507999,0.015893538,-0.651903915,0.0009805,-6.357551993
73,0,3,0,4,0,1,2.16530633,-3.640914965,3.640914965,0.041733691,0.384450166,0.000919565,3.799481347
74,0,2,0,4,1,0,0.55752635,-4.457050261,4.457050261,0.045138575,0.471465571,0.001501099,4.667745649
75,0,2,1,3,0,1,-0.627695501,-7.871702513,7.871702513,0.035146893,0.828343941,0.003570665,8.158446564
76,0,0,1,1,1,0,-3.275050163,-9.787863128,9.787863128,0.058167596,1.042494327,0.009588636,10.39236184
